MSZoning,LotFrontage,LotArea,Street,LotShape,Utilities,Neighborhood,Condition1,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterCond,Foundation,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PoolArea,SaleType,SaleCondition,SalePrice
RL,65,8450,Pave,Reg,AllPub,CollgCr,Norm,1Fam,2Story,5,2003,2003,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,856,GasA,Ex,Y,SBrkr,2,3,1,Gd,8,Typ,0,Attchd,2003,RFn,2,548,TA,0,WD,Normal,208500
RL,80,9600,Pave,Reg,AllPub,Veenker,Feedr,1Fam,1Story,8,1976,1976,Gable,CompShg,MetalSd,None,TA,CBlock,TA,1262,GasA,Ex,Y,SBrkr,2,3,1,TA,6,Typ,1,Attchd,1976,RFn,2,460,TA,0,WD,Normal,181500
RL,68,11250,Pave,IR1,AllPub,CollgCr,Norm,1Fam,2Story,5,2001,2002,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,920,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,1,Attchd,2001,RFn,2,608,TA,0,WD,Normal,223500
RL,60,9550,Pave,IR1,AllPub,Crawfor,Norm,1Fam,2Story,5,1915,1970,Gable,CompShg,Wd Sdng,None,TA,BrkTil,Gd,756,GasA,Gd,Y,SBrkr,1,3,1,Gd,7,Typ,1,Detchd,1998,Unf,3,642,TA,0,WD,Abnorml,140000
RL,84,14260,Pave,IR1,AllPub,NoRidge,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1145,GasA,Ex,Y,SBrkr,2,4,1,Gd,9,Typ,1,Attchd,2000,RFn,3,836,TA,0,WD,Normal,250000
RL,85,14115,Pave,IR1,AllPub,Mitchel,Norm,1Fam,1.5Fin,5,1993,1995,Gable,CompShg,VinylSd,None,TA,Wood,TA,796,GasA,Ex,Y,SBrkr,1,1,1,TA,5,Typ,0,Attchd,1993,Unf,2,480,TA,0,WD,Normal,143000
RL,75,10084,Pave,Reg,AllPub,Somerst,Norm,1Fam,1Story,5,2004,2005,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1686,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,Attchd,2004,RFn,2,636,TA,0,WD,Normal,307000
RL,NA,10382,Pave,IR1,AllPub,NWAmes,PosN,1Fam,2Story,6,1973,1973,Gable,CompShg,HdBoard,Stone,TA,CBlock,TA,1107,GasA,Ex,Y,SBrkr,2,3,1,TA,7,Typ,2,Attchd,1973,RFn,2,484,TA,0,WD,Normal,200000
RM,51,6120,Pave,Reg,AllPub,OldTown,Artery,1Fam,1.5Fin,5,1931,1950,Gable,CompShg,BrkFace,None,TA,BrkTil,TA,952,GasA,Gd,Y,FuseF,2,2,2,TA,8,Min1,2,Detchd,1931,Unf,2,468,TA,0,WD,Abnorml,129900
RL,50,7420,Pave,Reg,AllPub,BrkSide,Artery,2fmCon,1.5Unf,6,1939,1950,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,991,GasA,Ex,Y,SBrkr,1,2,2,TA,5,Typ,2,Attchd,1939,RFn,1,205,TA,0,WD,Normal,118000
RL,70,11200,Pave,Reg,AllPub,Sawyer,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,None,TA,CBlock,TA,1040,GasA,Ex,Y,SBrkr,1,3,1,TA,5,Typ,0,Detchd,1965,Unf,1,384,TA,0,WD,Normal,129500
RL,85,11924,Pave,IR1,AllPub,NridgHt,Norm,1Fam,2Story,5,2005,2006,Hip,CompShg,WdShing,Stone,TA,PConc,TA,1175,GasA,Ex,Y,SBrkr,3,4,1,Ex,11,Typ,2,BuiltIn,2005,Fin,3,736,TA,0,New,Partial,345000
RL,NA,12968,Pave,IR2,AllPub,Sawyer,Norm,1Fam,1Story,6,1962,1962,Hip,CompShg,HdBoard,None,TA,CBlock,TA,912,GasA,TA,Y,SBrkr,1,2,1,TA,4,Typ,0,Detchd,1962,Unf,1,352,TA,0,WD,Normal,144000
RL,91,10652,Pave,IR1,AllPub,CollgCr,Norm,1Fam,1Story,5,2006,2007,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1494,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,Attchd,2006,RFn,3,840,TA,0,New,Partial,279500
RL,NA,10920,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,5,1960,1960,Hip,CompShg,MetalSd,BrkFace,TA,CBlock,TA,1253,GasA,TA,Y,SBrkr,1,2,1,TA,5,Typ,1,Attchd,1960,RFn,1,352,TA,0,WD,Normal,157000
RM,51,6120,Pave,Reg,AllPub,BrkSide,Norm,1Fam,1.5Unf,8,1929,2001,Gable,CompShg,Wd Sdng,None,TA,BrkTil,TA,832,GasA,Ex,Y,FuseA,1,2,1,TA,5,Typ,0,Detchd,1991,Unf,2,576,TA,0,WD,Normal,132000
RL,NA,11241,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,7,1970,1970,Gable,CompShg,Wd Sdng,BrkFace,TA,CBlock,TA,1004,GasA,Ex,Y,SBrkr,1,2,1,TA,5,Typ,1,Attchd,1970,Fin,2,480,TA,0,WD,Normal,149000
RL,72,10791,Pave,Reg,AllPub,Sawyer,Norm,Duplex,1Story,5,1967,1967,Gable,CompShg,MetalSd,None,TA,Slab,NA,0,GasA,TA,Y,SBrkr,2,2,2,TA,6,Typ,0,CarPort,1967,Unf,2,516,TA,0,WD,Normal,90000
RL,66,13695,Pave,Reg,AllPub,SawyerW,RRAe,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,None,TA,PConc,TA,1114,GasA,Ex,Y,SBrkr,1,3,1,Gd,6,Typ,0,Detchd,2004,Unf,2,576,TA,0,WD,Normal,159000
RL,70,7560,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,6,1958,1965,Hip,CompShg,BrkFace,None,TA,CBlock,TA,1029,GasA,TA,Y,SBrkr,1,3,1,TA,6,Min1,0,Attchd,1958,Unf,1,294,TA,0,COD,Abnorml,139000
RL,101,14215,Pave,IR1,AllPub,NridgHt,Norm,1Fam,2Story,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1158,GasA,Ex,Y,SBrkr,3,4,1,Gd,9,Typ,1,BuiltIn,2005,RFn,3,853,TA,0,New,Partial,325300
RM,57,7449,Pave,Reg,AllPub,IDOTRR,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,None,TA,PConc,TA,637,GasA,Ex,Y,FuseF,1,3,1,Gd,6,Typ,1,Attchd,1930,Unf,1,280,TA,0,WD,Normal,139400
RL,75,9742,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,5,2002,2002,Hip,CompShg,VinylSd,BrkFace,TA,PConc,TA,1777,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,Attchd,2002,RFn,2,534,TA,0,WD,Normal,230000
RM,44,4224,Pave,Reg,AllPub,MeadowV,Norm,TwnhsE,1Story,7,1976,1976,Gable,CompShg,CemntBd,None,TA,PConc,TA,1040,GasA,TA,Y,SBrkr,1,3,1,TA,6,Typ,1,Attchd,1976,Unf,2,572,TA,0,WD,Normal,129900
RL,NA,8246,Pave,IR1,AllPub,Sawyer,Norm,1Fam,1Story,8,1968,2001,Gable,CompShg,Plywood,None,Gd,CBlock,TA,1060,GasA,Ex,Y,SBrkr,1,3,1,Gd,6,Typ,1,Attchd,1968,Unf,1,270,TA,0,WD,Normal,154000
RL,110,14230,Pave,Reg,AllPub,NridgHt,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1566,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,Attchd,2007,RFn,3,890,TA,0,WD,Normal,256300
RL,60,7200,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,7,1951,2000,Gable,CompShg,Wd Sdng,None,TA,CBlock,TA,900,GasA,TA,Y,SBrkr,1,3,1,Gd,5,Typ,0,Detchd,2005,Unf,2,576,TA,0,WD,Normal,134800
RL,98,11478,Pave,Reg,AllPub,NridgHt,Norm,1Fam,1Story,5,2007,2008,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1704,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,Attchd,2008,RFn,3,772,TA,0,WD,Normal,306000
RL,47,16321,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,6,1957,1997,Gable,CompShg,MetalSd,None,TA,CBlock,TA,1484,GasA,TA,Y,SBrkr,1,2,1,TA,6,Typ,2,Attchd,1957,RFn,1,319,TA,0,WD,Normal,207500
RM,60,6324,Pave,IR1,AllPub,BrkSide,Feedr,1Fam,1Story,6,1927,1950,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,520,GasA,Fa,N,SBrkr,1,1,1,Fa,4,Typ,0,Detchd,1920,Unf,1,240,TA,0,WD,Normal,68500
